tas,"	Year", Month, Country, ISO3, ISO2
27.6425,1935,5,GHA,,
25.7425,1935,6,GHA,,
25.1694,1935,7,GHA,,
24.8353,1935,8,GHA,,
25.7446,1935,9,GHA,,
26.1092,1935,10,GHA,,
26.7381,1935,11,GHA,,
26.7706,1935,12,GHA,,
26.5926,1936,1,GHA,,
29.739,1936,2,GHA,,
30.3936,1936,3,GHA,,
28.3635,1936,4,GHA,,
27.1831,1936,5,GHA,,
26.132,1936,6,GHA,,
25.2954,1936,7,GHA,,
24.8276,1936,8,GHA,,
25.3669,1936,9,GHA,,
26.8402,1936,10,GHA,,
27.6536,1936,11,GHA,,
26.2066,1936,12,GHA,,
27.4281,1937,1,GHA,,
29.486,1937,2,GHA,,
30.5759,1937,3,GHA,,
30.4159,1937,4,GHA,,
29.1942,1937,5,GHA,,
27.3878,1937,6,GHA,,
26.0296,1937,7,GHA,,
26.2019,1937,8,GHA,,
26.2391,1937,9,GHA,,
27.2992,1937,10,GHA,,
28.6411,1937,11,GHA,,
27.9006,1937,12,GHA,,
27.8709,1938,1,GHA,,
30.8281,1938,2,GHA,,
30.1826,1938,3,GHA,,
30.3503,1938,4,GHA,,
29.4295,1938,5,GHA,,
28.1623,1938,6,GHA,,
26.2596,1938,7,GHA,,
25.6141,1938,8,GHA,,
26.4941,1938,9,GHA,,
28.2413,1938,10,GHA,,
28.653,1938,11,GHA,,
28.1898,1938,12,GHA,,
28.118,1939,1,GHA,,
28.9728,1939,2,GHA,,
30.0823,1939,3,GHA,,
30.0596,1939,4,GHA,,
28.83,1939,5,GHA,,
27.0827,1939,6,GHA,,
26.3414,1939,7,GHA,,
25.6375,1939,8,GHA,,
26.1095,1939,9,GHA,,
27.7731,1939,10,GHA,,
28.6369,1939,11,GHA,,
27.7515,1939,12,GHA,,
26.9191,1940,1,GHA,,
28.9711,1940,2,GHA,,
29.4979,1940,3,GHA,,
29.1447,1940,4,GHA,,
28.2035,1940,5,GHA,,
26.6977,1940,6,GHA,,
25.6778,1940,7,GHA,,
25.4087,1940,8,GHA,,
25.8774,1940,9,GHA,,
26.8304,1940,10,GHA,,
27.2608,1940,11,GHA,,
26.4579,1940,12,GHA,,
27.6873,1941,1,GHA,,
29.2197,1941,2,GHA,,
30.6577,1941,3,GHA,,
29.592,1941,4,GHA,,
28.8694,1941,5,GHA,,
27.2352,1941,6,GHA,,
26.2529,1941,7,GHA,,
26.1758,1941,8,GHA,,
27.1098,1941,9,GHA,,
28.1697,1941,10,GHA,,
28.1494,1941,11,GHA,,
27.3032,1941,12,GHA,,
26.9713,1942,1,GHA,,
29.9703,1942,2,GHA,,
30.1997,1942,3,GHA,,
29.5954,1942,4,GHA,,
28.1017,1942,5,GHA,,
27.1927,1942,6,GHA,,
25.8727,1942,7,GHA,,
25.2777,1942,8,GHA,,
27.1033,1942,9,GHA,,
27.2789,1942,10,GHA,,
27.8757,1942,11,GHA,,
26.4,1942,12,GHA,,
26.8151,1943,1,GHA,,
29.1208,1943,2,GHA,,
29.273,1943,3,GHA,,
28.93,1943,4,GHA,,
27.4343,1943,5,GHA,,
26.3665,1943,6,GHA,,
25.5522,1943,7,GHA,,
25.28,1943,8,GHA,,
26.0434,1943,9,GHA,,
27.0126,1943,10,GHA,,
27.4076,1943,11,GHA,,
27.1734,1943,12,GHA,,
26.5119,1944,1,GHA,,
28.6339,1944,2,GHA,,
29.3838,1944,3,GHA,,
29.036,1944,4,GHA,,
29.3072,1944,5,GHA,,
27.0026,1944,6,GHA,,
26.2949,1944,7,GHA,,
25.9569,1944,8,GHA,,
26.6345,1944,9,GHA,,
27.6866,1944,10,GHA,,
27.6052,1944,11,GHA,,
27.1155,1944,12,GHA,,
27.4904,1945,1,GHA,,
28.6439,1945,2,GHA,,
29.2239,1945,3,GHA,,
29.1031,1945,4,GHA,,
28.4822,1945,5,GHA,,
26.9364,1945,6,GHA,,
26.0302,1945,7,GHA,,
25.6204,1945,8,GHA,,
26.7442,1945,9,GHA,,
26.7466,1945,10,GHA,,
27.3227,1945,11,GHA,,
26.0961,1945,12,GHA,,
27.3,1946,1,GHA,,
28.9468,1946,2,GHA,,
30.0292,1946,3,GHA,,
29.3305,1946,4,GHA,,
28.1365,1946,5,GHA,,
25.9721,1946,6,GHA,,
25.5355,1946,7,GHA,,
24.9276,1946,8,GHA,,
25.762,1946,9,GHA,,
25.9438,1946,10,GHA,,
27.3785,1946,11,GHA,,
26.0648,1946,12,GHA,,
26.5762,1947,1,GHA,,
30.3637,1947,2,GHA,,
29.228,1947,3,GHA,,
29.0573,1947,4,GHA,,
28.9722,1947,5,GHA,,
26.9858,1947,6,GHA,,
25.919,1947,7,GHA,,
25.985,1947,8,GHA,,
26.2007,1947,9,GHA,,
26.9763,1947,10,GHA,,
26.752,1947,11,GHA,,
26.5081,1947,12,GHA,,
26.2063,1948,1,GHA,,
28.7158,1948,2,GHA,,
29.3567,1948,3,GHA,,
28.5818,1948,4,GHA,,
27.5498,1948,5,GHA,,
25.828,1948,6,GHA,,
25.6578,1948,7,GHA,,
25.5863,1948,8,GHA,,
26.233,1948,9,GHA,,
27.3716,1948,10,GHA,,
27.0056,1948,11,GHA,,
26.5113,1948,12,GHA,,
27.2544,1949,1,GHA,,
28.8296,1949,2,GHA,,
30.1072,1949,3,GHA,,
29.3799,1949,4,GHA,,
28.2141,1949,5,GHA,,
26.861,1949,6,GHA,,
26.2451,1949,7,GHA,,
25.5964,1949,8,GHA,,
26.4864,1949,9,GHA,,
27.5233,1949,10,GHA,,
27.7212,1949,11,GHA,,
26.5251,1949,12,GHA,,
27.3215,1950,1,GHA,,
28.429,1950,2,GHA,,
29.0705,1950,3,GHA,,
28.8,1950,4,GHA,,
28.36,1950,5,GHA,,
26.6619,1950,6,GHA,,
25.5464,1950,7,GHA,,
25.0682,1950,8,GHA,,
25.8289,1950,9,GHA,,
26.4875,1950,10,GHA,,
26.7554,1950,11,GHA,,
26.106,1950,12,GHA,,
27.3089,1951,1,GHA,,
29.065,1951,2,GHA,,
29.2391,1951,3,GHA,,
29.4317,1951,4,GHA,,
27.984,1951,5,GHA,,
27.142,1951,6,GHA,,
25.7204,1951,7,GHA,,
25.8923,1951,8,GHA,,
26.2106,1951,9,GHA,,
26.407,1951,10,GHA,,
26.8044,1951,11,GHA,,
26.2607,1951,12,GHA,,
26.9704,1952,1,GHA,,
28.6678,1952,2,GHA,,
29.3972,1952,3,GHA,,
29.6018,1952,4,GHA,,
27.9813,1952,5,GHA,,
26.777,1952,6,GHA,,
25.6004,1952,7,GHA,,
25.1786,1952,8,GHA,,
25.3192,1952,9,GHA,,
26.2477,1952,10,GHA,,
26.9455,1952,11,GHA,,
26.6325,1952,12,GHA,,
27.3355,1953,1,GHA,,
28.4362,1953,2,GHA,,
28.9928,1953,3,GHA,,
29.4031,1953,4,GHA,,
27.5609,1953,5,GHA,,
26.1902,1953,6,GHA,,
25.2333,1953,7,GHA,,
25.3117,1953,8,GHA,,
25.7274,1953,9,GHA,,
26.584,1953,10,GHA,,
27.4178,1953,11,GHA,,
26.2612,1953,12,GHA,,
26.7192,1954,1,GHA,,
28.6049,1954,2,GHA,,
29.2151,1954,3,GHA,,
28.57,1954,4,GHA,,
27.6556,1954,5,GHA,,
26.0265,1954,6,GHA,,
24.829,1954,7,GHA,,
24.9304,1954,8,GHA,,
25.4858,1954,9,GHA,,
26.0163,1954,10,GHA,,
27.0923,1954,11,GHA,,
26.6121,1954,12,GHA,,
26.9314,1955,1,GHA,,
28.6844,1955,2,GHA,,
28.5655,1955,3,GHA,,
28.3344,1955,4,GHA,,
27.7679,1955,5,GHA,,
26.0298,1955,6,GHA,,
25.0226,1955,7,GHA,,
25.1815,1955,8,GHA,,
25.1361,1955,9,GHA,,
26.1788,1955,10,GHA,,
27.0109,1955,11,GHA,,
25.7969,1955,12,GHA,,
26.5332,1956,1,GHA,,
28.8768,1956,2,GHA,,
28.3429,1956,3,GHA,,
28.5577,1956,4,GHA,,
27.6665,1956,5,GHA,,
25.7833,1956,6,GHA,,
24.7165,1956,7,GHA,,
25.0739,1956,8,GHA,,
25.6958,1956,9,GHA,,
26.4394,1956,10,GHA,,
27.0844,1956,11,GHA,,
26.027,1956,12,GHA,,
25.9561,1957,1,GHA,,
28.16,1957,2,GHA,,
29.0198,1957,3,GHA,,
28.976,1957,4,GHA,,
27.6573,1957,5,GHA,,
26.2908,1957,6,GHA,,
25.4846,1957,7,GHA,,
25.3911,1957,8,GHA,,
25.524,1957,9,GHA,,
26.1079,1957,10,GHA,,
27.0818,1957,11,GHA,,
26.7383,1957,12,GHA,,
27.641,1958,1,GHA,,
28.4933,1958,2,GHA,,
29.6361,1958,3,GHA,,
29.0328,1958,4,GHA,,
27.8764,1958,5,GHA,,
25.7486,1958,6,GHA,,
25.1279,1958,7,GHA,,
25.382,1958,8,GHA,,
25.6314,1958,9,GHA,,
26.9267,1958,10,GHA,,
27.341,1958,11,GHA,,
26.4587,1958,12,GHA,,
27.1925,1959,1,GHA,,
28.9826,1959,2,GHA,,
29.4682,1959,3,GHA,,
29.4361,1959,4,GHA,,
27.6253,1959,5,GHA,,
26.5497,1959,6,GHA,,
25.4996,1959,7,GHA,,
25.269,1959,8,GHA,,
25.6985,1959,9,GHA,,
27.0638,1959,10,GHA,,
27.5455,1959,11,GHA,,
26.2454,1959,12,GHA,,
26.9721,1960,1,GHA,,
28.9117,1960,2,GHA,,
28.9648,1960,3,GHA,,
28.2809,1960,4,GHA,,
28.1476,1960,5,GHA,,
26.2018,1960,6,GHA,,
25.5439,1960,7,GHA,,
25.4431,1960,8,GHA,,
25.8748,1960,9,GHA,,
26.5558,1960,10,GHA,,
27.0365,1960,11,GHA,,
26.4103,1960,12,GHA,,
26.7681,1961,1,GHA,,
28.0485,1961,2,GHA,,
29.2259,1961,3,GHA,,
28.7085,1961,4,GHA,,
28.368,1961,5,GHA,,
26.117,1961,6,GHA,,
25.118,1961,7,GHA,,
24.7833,1961,8,GHA,,
25.5103,1961,9,GHA,,
27.0574,1961,10,GHA,,
27.1235,1961,11,GHA,,
26.3642,1961,12,GHA,,
26.8287,1962,1,GHA,,
28.7759,1962,2,GHA,,
29.5609,1962,3,GHA,,
28.6575,1962,4,GHA,,
27.5591,1962,5,GHA,,
25.7424,1962,6,GHA,,
25.6141,1962,7,GHA,,
24.8432,1962,8,GHA,,
25.5561,1962,9,GHA,,
26.5768,1962,10,GHA,,
27.1645,1962,11,GHA,,
26.0507,1962,12,GHA,,
27.1376,1963,1,GHA,,
29.1318,1963,2,GHA,,
28.9365,1963,3,GHA,,
28.6492,1963,4,GHA,,
27.8137,1963,5,GHA,,
26.9136,1963,6,GHA,,
26.1447,1963,7,GHA,,
26.0925,1963,8,GHA,,
26.5149,1963,9,GHA,,
26.535,1963,10,GHA,,
26.9701,1963,11,GHA,,
26.5649,1963,12,GHA,,
26.7708,1964,1,GHA,,
28.8756,1964,2,GHA,,
29.523,1964,3,GHA,,
28.7649,1964,4,GHA,,
27.634,1964,5,GHA,,
26.142,1964,6,GHA,,
25.0819,1964,7,GHA,,
24.7407,1964,8,GHA,,
25.2713,1964,9,GHA,,
25.957,1964,10,GHA,,
26.7026,1964,11,GHA,,
26.2599,1964,12,GHA,,
26.787,1965,1,GHA,,
28.7067,1965,2,GHA,,
29.2505,1965,3,GHA,,
28.5527,1965,4,GHA,,
27.5645,1965,5,GHA,,
26.1903,1965,6,GHA,,
25.4212,1965,7,GHA,,
25.0838,1965,8,GHA,,
25.8263,1965,9,GHA,,
26.9139,1965,10,GHA,,
